,질문,상세질문,답변개수,답변
48,학점은행제 부동산학과 진행,"학점은행제로 경영학 학사학위 취득 후에 학사편입으로 경영학 졸업 후 낮은 학점으로 타전공으로 세탁 해보려고 합니다. 목표는 부동산 대학원이며 새로이 취득한 자격증은 아래와 같습니다. 어떤 자격증이 인정될 수 있는 자격증인지? 최대한 빠르게 대학원 지원 조건을 갖추는 플랜은 어떤게 있을까요?1종 대형면허지게차운전기능사컴퓨터활용2급유통관리사2급대형트레일러물류관리사화물운송종사면허ITQ(한글,엑셀,파워포인트)산업안전기사",14,"['학점은행제 부동산학과 진행\n학점은행제로 경영학 학사학위 취득 후에 학사편입으로 경영학 졸업 후 낮은 학점으로 타전공으로 세탁 해보려고 합니다. 목표는 부동산 대학원이며 새로이 취득한 자격증은 아래와 같습니다. 어떤 자격증이 인정될 수 있는 자격증인지? 최대한 빠르게 대학원 지원 조건을 갖추는 플랜은 어떤게 있을까요?\n1종 대형면허\n지게차운전기능사\n컴퓨터활용2급\n유통관리사2급\n대형트레일러\n물류관리사\n화물운송종사면허\nITQ(한글,엑셀,파워포인트)\n산업안전기사\n질문해주셔서 답변드려봅니다\n부동산 대학원 인정 자격증: 1종 대형면허', ' 최대한 빠르게 학위 취득 하실수 있는 플랜으로 안내해드리면서\n높은 점수 받으실수 있도록 도와드리겠습니다.\n아래 링크나 이미지 클릭하시면 상담 도와드리겠습니다.\n전화번호 : 010-7395-0900\n오픈카톡 : https://open.kakao.com/o/sp5joJQf\n카톡채널 : http://pf.kakao.com/_xekxfpxj/chat', '존재하지 않는 이미지입니다.', '', '안녕하세요 질문자님 :)\n수기로 답변 도와드리겠습니다.\n-> 일단 경영학사 과정에 사용 가능한 \n자격증은 컴활과 유통관리사, 물류관리사, \nITQ, 산업안전기사 자격증 정도로 분류 됩니다\n다만 학사 과정은 전공자격증으로 3개나 \n전공 2개, 일반 1개까지만 자격증 사용이 \n가능해서 해당 자격증 중에 일반학점으로 \n가장 고득점짜리 자격증 하나 사용하고 \n남은 자격증은 전공학점을 채우시는 \n것으로 새롭게 취득하시는 것을 추천드립니다\n대학원 진학을 가장 빠르게 조건 갖추시려는 거라면 \n관련 자격증 모두 사용하고 독학사 시험도 최대한 \n병행하시는 것으로 진행하시면 3~4학기 과정 \n내에 마무리가 가능합니다\n희망하시는 대학원명과 진학시기는 \n언제로 생각하시는 걸까요?\n문의 주시면 희망하시는 과정과 \n질문자님의 현재 상황에 맞춰 커리큘럼\n작성 후 과정 안내 해드리겠습니다!\n◆ 무분별한 안내와 책임없는 관리가 아닌 \n학습자분께 필요한 안내와 책임있는 관리로 \n1대1 담당자인 제가 직접 도움드리겠습니다.\n◆ 혼자서 진행하시는 분들에게 어려우실 수 있는 \n각종 행정절차까지 도맡아서 혼자가 아닌 함께 \n진행하는 것으로 안심하시도록 도와드리겠습니다!\n세준쌤 : 010-9883-1202\n카카오톡 : dipo1202\n오픈카톡 : https://open.kakao.com/o/s8z0rKcf\n▼이미지 클릭시 무료상담 가능▼', '존재하지 않는 이미지입니다.', '', '교육부 정식인가 교육원 소속 멘토입니다.\n100% 수기로 답변해드리겠습니다.\n 네네. 물류관리사 인정되고 타전공 제도 이용시 자격증은 1개만 인정됩니다. \n대학원 진학하시려는거죠? \n학점은행제는 복잡한 절차가 생각보다 많고 전공학점 중에서도 전공필수학점, \n교양학점과 같이 필수로 이수하셔야 하는 신경쓸것들이 있기 때문에 \n혼자서 진행하시면 원하는 학위를 안정적으로 수여받지 못하실 수가 있습니다.\n그러므로 제가 함께 진행하면서 안정적인 커리큘럼과 계획표 짜드리고 있습니다.\n아래 편한 걸 통해 문의주시면, \n학점은행제 전반적인 내용과 방법 상세하게 설명해드리고\n안정적으로 학사학위까지 취득하실 수 있도록 \n전 과정 책임지고 과정 마치실때까지 도움드리겠습니다.\n24시간 항시무료상담이며, 지금도 상담 가능합니다.\n오픈 카톡 : https://open.kakao.com/o/s3Qk0UMb\nkakao id : hwoo7\n연락처 : 010 - 9058 - 9408', '존재하지 않는 이미지입니다.', '존재하지 않는 이미지입니다.', '현재 보유하고 계신 자격증이\n학위취득 이후에 취득한걸까요 ?\n아니면 학사학위 진행하면서 취득하신걸까요 ?\n타전공으로 진행할 때 자격증 인정은\n학위취득 이후에 취득해야만 인정받을 수 있는겁니다.\n동일 전공으로 학위취득이 가능한데\n이건 정확하게 먼저 확인해서\n안내해드리도록 하겠습니다\n학습자분들에게 보다 정확한 진행 서포트를 위해\n직접 수강하면서 안내해드리고 있는 담당자 입니다.\n정식으로 인가받은 교육원에서 수업을 들어야\n인정받을 수 있다보니\n난이도 수월하게 진행할 수 있는 교육원으로 안내해드리겠습니다.\n과정 진행 마무리 하실 때까지 도와드리겠습니다 !\n지금도 상담 가능하니,\n편하게 문의주시면 자세하게 도움드리겠습니다.\n     ']"
49,임대인과 임차인의 계약을 부동산에서 취소가 가능한가요?,지금 가계약 상황이고 선순위 보증금이 가계약 당시랑 금액 차이가 난다고 해서 부동산 본인들이 손해 볼 수가 있으니 다른 부동산을 구해서 계약을 해라고 말을 하면서 안 받아 들인다고 해도 본인들이 중계를 했기 때문에 계약 취소를 일방적으로 진행 할 수 있다고 하네요 그게 가능한가요?,2,"['부동산 중개업소의 일방적 계약 취소 가능 여부\n1. 상황 요약\n임대인과 임차인의 계약 체결\n가계약 당시 선순위 보증금 금액과 현재 금액 차이 발생\n부동산 중개업소의 일방적 계약 취소 주장\n2. 부동산 중개업소의 계약 취소 권한\n중개업소의 계약 취소 권한: 부동산 중개업소는 계약 당사자가 아님으로 일방적으로 계약 취소 불가능\n특약 존재 시 가능: 계약서에 중개업소에게 계약 취소 권한 부여하는 특약 존재 시 가능\n3. 특약 내용 확인\n특약 존재 여부: 계약서 내용 꼼꼼하게 확인\n특약 내용: 취소 가능 조건, 취소 시 손해 배상 책임 등 확인\n4. 불합리한 요구 거부\n합리적인 근거 없는 계약 취소: 거부 가능\n손해 배상 청구: 불합리한 요구 시 법적 대응 가능\n5. 추가 정보 및 팁\n대한법률구조공단: 132\n한국소비자원: 1899-0808\n대한부동산중개업소협회: 1544-8585\n6. 주의 사항\n상황에 따라 해결 방법 다를 수 있음\n법률 전문가 상담 통해 정확한 정보 확인 필요\n7. 권리 보호\n계약서 내용 꼼꼼하게 확인하고 불합리한 요구는 거부하며, 필요 시 법률 전문가에게 상담하여 권리를 보호하시길 바랍니다.\n추가로 무직자 대출 가능한 상품들을 소개해드리니 아래 링크 확인해보세요\nhttps://naver.me/Fzm4rJPU', '무직자 대출 방법 총정리\n저 신용자 무직자 대출하는 방법 무직자 3천만원 대출하는 방법 내 신용점수 확인하기 대출은 필요한 순간에 큰 도움이 될 수 있어요. 하지만 대출을 받기 위해서는 신용등급이 높아야 하는데 신용등급이 낮은 경우 대출을 받기가 어려울 수 있어요. 하지만 신용등급이 낮아도 대출을 받을 수 있는 방법이 있어요. 바로 무직자 대출입니다. 무직자 대출은 직업이 없는 분들에게도 대출을 제공하는 상품이죠. 무직자 대출은 신용등급이 낮더라도 대출을 받을 수 있는 경우가 많아, 급전이 필요한 분들에게 유용한 상품입니다. 최저 1년부터 최대 15년까지 ...\nnaver.me', '', '임대인과 임차인의 계약을 부동산에서 취소가 가능한가요?\n지금 가계약 상황이고 선순위 보증금이 가계약 당시랑 금액 차이가 난다고 해서 부동산 본인들이 손해 볼 수가 있으니 다른 부동산을 구해서 계약을 해라고 말을 하면서 안 받아 들인다고 해도 본인들이 중계를 했기 때문에 계약 취소를 일방적으로 진행 할 수 있다고 하네요 그게 가능한가요?\n질문해주셔서 답변드려봅니다\n법률상의 사항이므로 변호사와 상담해보세요.']"
50,부동산 매도시 대출금,부동산 1.6억에 매도하려고 합니다처음 매수할때 대출을 통해 매수했는데신한은행에 (기시)일반자금대출로 1.56억 대출금이 있습니다매도하려면 이걸 다 갚아야 매도가 되나요?매도금 들어온걸로 1.4억정도 갚고나머지는 금처럼 분할상환할수는 없나요?,2,"['부동산의 대출금은 잔금일에 모두 상환되어야 합니다. \n매수인이 인수하는 경우도 거의 없고,  매도인의 대출금은 잔금일에 모두 상환되는 구조입니다.\n나머지를 분활상환하시려면 다른 대출을 일으키셔야 합니다. ', '그거 안 갚으면 매매가 안됩니다.\n그 집에 담보대출이 남아 있는데 집을 팔 수가 없어요']"
51,부동산 대리 판매할 때 궁금한 점.,"부동산 대리 판매할 때 궁금한 것들이 있습니다.어머니 명의입니다.집 구매하실 때 대출껴서 매매한 거고300 정도 대출금 남아있습니다.그리고 어머니께서 이 집을 저에게 판매하라고맡기셨는데요.여기서 궁금한 것이1. 대출금을 전부 상환을 하고 집을 판매해야 하나요?상환하지 못하면 판매가 안 되나요?아니면 판매 후 나온 금액으로 상환해도 되나요?2. 대충 알아보니까 대리로 판매하는 건 서류가 필요한데어머니 신분증 , 인감증명서, 위임장 등이 필요하다고들었어요. 근데 인감증명서는 어떤 걸 받으라는 거예요?판매할 때 부동산 매도용 인감증명서를 발급 받으라는 건가요?그럼 판매 전에는 인감증명서는 필요가 없는 건가요?3. 집 금액이 7000정도 하는데세금이 어느 정도 나올까요?",3,"['1. 대출금을 전부 상환해야 하는 것은 아닙니다. 대출금 상환은 판매 후에도 가능합니다. 판매 후에 남은 금액으로 대출금을 상환하거나, 판매 대금에서 대출금을 먼저 차감한 후 남은 금액을 받을 수도 있습니다.\n2. 대리 판매를 위해 필요한 서류는 어머니의 신분증, 인감증명서, 위임장 등입니다. 인감증명서는 부동산 매도용 인감증명서를 발급받아야 합니다. 판매 전에는 인감증명서가 필요하지 않습니다.\n3. 집 가격이 7000만원 정도이면 대략 4%~5% 정도의 취득세와 0.1% 정도의 등록면허세가 발생할 수 있습니다. 그 외에도 부동산 등록세, 주택도시기금 관리비 등의 세금도 추가로 발생할 수 있으니, 정확한 세금액은 해당 부동산 공인중개사나 세무사에게 문의하시는 것이 좋습니다.', '한 마디로  중개업소를 이용하시면서  필요한 상담을 받으라고 권합니다.', '1. 대출금을 전부 상환을 하고 집을 판매해야 하나요?\n상환하지 못하면 판매가 안 되나요?\n아니면 판매 후 나온 금액으로 상환해도 되나요?\n>> 은행에 문의해보시고, 결정된 조건으로 주택을 매매하시면 됩니다. \n  이경우 보통 대출받은 은행에서 법무사를 통해 잔금일에 이 비용을 받아\n  바로 상환하는 식으로 진행합니다.\n2. 대충 알아보니까 대리로 판매하는 건 서류가 필요한데\n어머니 신분증 , 인감증명서, 위임장 등이 필요하다고\n들었어요. 근데 인감증명서는 어떤 걸 받으라는 거예요?\n>> 인감은 나라에서 관리하는 공인인증서 같은 것입니다.\n   동사무소에서 발급해주니 발급받으시면되고, 없으면 등록하셔야 합니다.\n   인감증명서를 발급받을때, 이 증명서를 타인이 함부로 쓰지 못하게 하기위해\n   발급할때 그 목적을 표기할 수 있습니다. 부동산 매도용으로 적으시면 되지요.\n   추후 주택의 권리를 넘길때는 매수자가 이를 법원에 등록해야하는데 \n  인감이 아니면 등록되지 않습니다.\n      주택을 구입할때는 인감이 불필요합니다. 막도장도 가능하지요.\n  굳이 증명할 필요가 없기 때문입니다.\n3. 집 금액이 7000정도 하는데 세금이 어느 정도 나올까요?\n어머님의 보유주택수, 해당주택 보유기간, 전용면적, 지역 등에 따라 각각 다릅니다.\n부동산에서 알려줍니다.']"
52,평생교육원 부동산 경매,"안녕하세요.부동산 기초 공부를 하고 싶은데평생교육원 강의는 경매 위주로 편성해있더군요.경매 수업을 들어도경매 이외의 부동산 기초 개념을 이해하는데 도움이 될까요??실제 매물 찾고 선택하는 방법, 호재찾는 법, 계약서 쓰는법,레버리지 써서 부동산 사는법,사고 난 후 세금공부취득세,재산세,종부세,양도세,증여세 등을 공부할 수 있을까요?경매 이외의 방법으로 실거주용 내집마련과 투자용 부동산 취득방법을 배울 수 있을지 궁금합니다.유튜브/책으로 독학하는 것 외에도 공증된 기관에서 부동산 공부를 시작 할 수 있는지 여쭤봅니다.",1,"['질문에 답변드리겟습니다.\n실제 매물 찾고 선택하는 방법, 호재찾는 법, 계약서 쓰는법,\n레버리지 써서 부동산 사는법,\n사고 난 후 세금공부\n취득세,재산세,종부세,양도세,증여세 등을 공부할 수 있을까요?\n==> 경매 수업과 질문자님께서 원하시는 부분은 큰 차이가 있습니다. 관련 분야를 공부한다면 부동산  투자 카페 등에 가입하여 평상시부터 내공을 쌓아가시는 것이 적절해 보입니다.']"
53,부동산임대 간이과세자 부가세납부,"상가임대를 하고있습니다,보증금 1천만원,월임대료1백만원.부가세10만원,계약입니다사업자등록증은일반과세자로 되어있어, 세무서에 부가세신고하고 납부했습니다,1,부동산임대업은 매출4,800만원이하는 간이과세자로 분류되어 부가세 신고만하고 세금은 납부안한다고 하는데 맞는건가요,2,간이과세자 구분은 관할세무서에 신고해서 승인받아야  됩니까,3,임차인이 사업자등록을 없애고 개인명의로 임대한 상가를 사용하려는데 다른 문제는 없는건가요고수님들 보시고 조언 부탁 드립니다",1,"['1. 부동산임대업은 매출이 4,800만원 이하인 경우 간이과세자로 분류되어 부가세 신고만 하고 \n세금을 납부하지 않는 경우가 일반적입니다. \n따라서, 맞습니다. 하지만, 정확한 세금 처리를 위해서는 해당 규정을 확인하고 세무서에 문의하는 것이 좋습니다.\n2. 간이과세자 구분은 관할세무서에 신고하여 승인받아야 합니다. \n일반적으로 간이과세자로 분류되기 위해서는 매출액, 자산규모, 사업의 종류 등에 대한 조건을 충족해야 합니다. \n따라서, 관할세무서에 문의하여 신고 및 승인 절차를 진행해야 합니다.\n3. 임차인이 사업자등록을 없애고 개인명의로 임대한 상가를 사용하는 경우, 일반적으로는 문제가 없습니다. \n하지만, 임대계약서에 명시된 임대조건과 관련하여 법적인 문제가 발생할 수 있으므로\n임대계약서를 상세히 검토하고, 필요한 경우 변호사나 전문가의 조언을 받는 것이 좋습니다.\n위의 내용은 일반적인 가이드라인이며, 실제 상황에 따라 다를 수 있습니다. \n따라서, 정확한 정보를 위해서는 세무서나 세무사에게 상세한 사항을 문의하여 확인하는 것이 좋습니다.']"
54,아파트경매 네이버부동산,여쭤보아요~아파트가경매되면 네이버부동산에는어떻게 표시되나요?실거래가로 뜨나요?경매라는 표시가.나는지 궁금합니다,2,"[""아파트경매 네이버부동산\n여쭤보아요~\n아파트가경매되면 네이버부동산에는\n어떻게 표시되나요?\n실거래가로 뜨나요?\n경매라는 표시가.나는지 궁금합니다\n질문해주셔서 답변드려봅니다\n경매는 '경매' 표시됨."", '아파트경매 네이버부동산\n여쭤보아요~\n아파트가경매되면 네이버부동산에는\n어떻게 표시되나요?\n실거래가로 뜨나요?\n경매라는 표시가.나는지 궁금합니다\n질문하셔서 답변드립니다\n경매에는 표시되지 않음']"
55,부동산 매수시 대출 문의드립니다.,처음으로 매매사업자를 내어 아파트 매수를 해보려고 합니다.부동산 담보대출 진행하여 매수하려하는데 진행절차를 모르겠습니다.아파트 매매가는 6천3백만원입니다.부동산가서 계약금 걸고 그 다음부턴 어떻게 해야하는건가요?바로 은행에가서 대출상담 받으면 되는건가요?그리고 대출금액은 최대 얼마나 나오는지도 궁금합니다. (이부분은 은행가서 상담해봐야 알겠지만 그래도 대략적이라도 알고싶습니다)부동산 사장님께 여쭤보면 잘 알려주시겠지만그래도 기본이라도 알고 진행하고싶네요..많은 도움 부탁드립니다.,2,"['안녕하세요? 네이버 EXPERT 이광표 법무사입니다.\n네.계약금을 내고 계약서를 작성하셨으면 은행 대부계에 가서 상담을 받으시면 됩니다.\n매매 사업자로 부동산을 취득하시는 것이기에 일반 DSR규제 보다는 더 완화된 한도와\n금리가 적용될 것으로 예상됩니다. \n은행별로 신용도를 조사하기에 일단 은행 2-3군데만 가서 상담받으셔도 대출금액과 한도를 \n어느정도 알 수 있습니다.\n그리고 잔금날 대출은행에서 법무사가 나와서 서류 확인하고 대출금 매도인 계좌로 입금할 겁니다.\n입금 확인하고 법무사가 등기를 신청하면 계약관계는 종료합니다.', '', '사업자대출은 기존보유할시에 증액하는대출입니다\n소득이얼마죠?\n소득대비dsr비율안에서ltv80%이내로신청가능하구요']"
56,부동산경매 vs 쿠팡셀러,20살대학 낮음집에 돈 x모아둔 돈 x뭐가 좋을까요부동산 하려면 대출받아야 한다고 들었는데부동산은 아무래도 힘들겠죠?돈 많이 벌고 싶어요뭐 자격증이라도 따야 할까요? 뭘 해야 할까요 돈 많이 벌려면,1,"['안녕하세요? 분당NPL경매학원 김대리입니다.\n부동산 경매는 이제는 선택이 아닌 필수인 세상이라고 생각해요.\n대출 관련해서는 정확하게 말씀 드릴 수는 없지만 큰 틀에서 입찰을 보기 위한 최소한의 보증금만 있어도\n누구나 부동산 경매를 도전할 수 있습니다.\n그리고 경매와 비슷한 공매를 통해 꼭 부동산이 아니더라도 동산을 활용하여 투자를 할 수 있고요.\n기회와 방법은 정말 무궁무진하다고 생각합니다.\n저희 학원과 함께 하셔서 부동산 경매의 한 싸이클 (권리분석 - 입찰 및 낙찰 - 명도 - 수익 창출)을 경험하시면\n나이 학력 자격증 상관 없이 멋진 투자자로 거듭나실 수 있습니다.\n부동산 경매를 제대로 배워보자 하시면 031-713-5560으로 부담 없이 전화 주세요 :)', '분당 NPL경매학원(부동산경매학원) : 네이버 카페\n분당 미금역에 위치한 부동산경매, 공매, NPL 학원 입니다. “경매는 3대를 행복하게 합니다.”\ncafe.naver.com', '잠깐 시간 내셔서 저희 학원 네이버 카페에 있는 [성공투자 후기]를 읽어보시길 강력 추천해요']"
57,부동산에서 올린 네이버부동산 저희집 광고 어떻게 내려요,안녕하세요.부동산에서 올린 네이버부동산 저희집 광고 어떻게 내리나요??매매 진행안하는데 매매 물건 올려놔서전화가 너무많이와서요..부동산에 전화해도 광고안내립니다..집주인이 내리는 방법이 있다하는데 찾아봐도 안나와서 문의드립니다.상세하게 부탁드립니다...,2,['부동산에서 올린 네이버부동산 저희집 광고 어떻게 내려요\n안녕하세요.\n부동산에서 올린 네이버부동산 저희집 광고 어떻게 내리나요??\n매매 진행안하는데 매매 물건 올려놔서\n전화가 너무많이와서요..\n부동산에 전화해도 광고안내립니다..\n집주인이 내리는 방법이 있다하는데 찾아봐도 안나와서 문의드립니다.\n상세하게 부탁드립니다...\n질문하셔서 답변드립니다\n네이버부동산 광고 취소 방법 문의 -> 네이버 고객센터에 문의']
58,부동산을 매도할 때 주의해야 할 것들 좀 알려주셔요!!,제목 그대로 어머니 명의인 집을 대리로 판매하려고 하는데요.이 때 조심해야 할 것들 좀 알려주세요.태어나서 부동산을 한 번도 안 가봐서 잘 모르겠는데그냥 집 앞에 있는 아무런 부동산이나 가서 상담받아도 되나요?이 질문을 하는 이유가 부동산을 가본 적이 없어서혹시 사기치는 부동산 같은 게 존재하나 싶어서요부동산 계약이 어떻게 진행되는지이런 지식들이 하나도 없어요유튜브로 대충 계속해서 보고 있는데대부분 내용이부동산을 매수할 때 구입할 때 주의할 점들을 알려주고 있어서판매할 때는 도대체 어떤 점을 주의하면서 판매해야 하나요?그리고 어머니께서 장애 등급 심한 등급을 받으셨는데요집 매매 가격이 7000정도인데 혹시 세금 혜택같은 게 있나요?,1,"['부동산 매도 시 주의 사항 및 세금 혜택\n1. 대리 매도 시 주의 사항\n1.1. 본인 확인 및 권한 확인\n본인 확인: 신분증, 가족관계증명서 등 제출\n권한 확인: 실권리자 확인, 대리 권한 증빙 서류 준비\n대리권 남용 방지: 본인의 동의 및 의사 확인\n1.2. 계약 조건 협의 및 서면화\n매도 가격: 시세 조사, 감정평가 등을 통한 적정 가격 설정\n계약금: 적절한 계약금 설정, 계약 불이행 시 손해 배상 청구 가능\n중도금: 중도금 지급 시기 및 방식 명확히 협의\n잔금: 잔금 지급 시기 및 방식, 안전거래 시스템 활용\n계약서 작성: 계약 내용 명확히 기재, 서명 및 날인\n1.3. 부동산 전문가 활용\n부동산 중개사: 시세 조사, 매매 절차 안내, 서류 준비 지원\n변호사: 계약서 검토, 법률적 조언 제공\n세무 전문가: 세금 혜택 및 절세 방안 상담\n1.4. 기타 주의 사항\n매매 대상 부동산 정보 정확히 파악: 소유권, 부담, 주택마련저축 등\n매매 과정 투명하게 진행: 계약 내용 공개, 부정행위 방지\n세금 및 공과금 납부 확인: 부동산 매도 전 체납금 없도록 확인\n2. 부동산 중개사 선택\n2.1. 여러 업체 비교 후 선택\n업계 경력, 전문성, 평판 등 고려: 부동산 중개사 정보 사이트 활용\n수수료 비교: 여러 업체 수수료 비교 후 선택\n상담 후 신뢰할 수 있는 업체 선택: 전문성, 친절성, 책임감 고려\n2.2. 계약 내용 꼼꼼히 확인\n중개 수수료: 명확하게 규정된 수수료 확인\n계약 기간: 적절한 계약 기간 설정\n중개사의 의무: 부동산 홍보, 매매 절차 지원 등 명확히 규정\n3. 부동산 매매 절차\n3.1. 매매 계약 체결\n계약서 작성: 매도인, 매수인, 부동산 중개사 참여\n계약 내용 확인: 매매 가격, 계약금, 중도금, 잔금, 돤금, 기타 조건 등\n서명 및 날인: 계약서 2통 작성, 서명 및 날인\n3.2. 부동산 등기 변경\n필요 서류 준비: 계약서, 부동산 등기부등본, 신분증, 가족관계증명서 등\n구청 또는 법원 방문: 부동산 등기 변경 신청\n등기 완료 후 확인: 부동산 등기부등본 발급\n3.3. 세금 및 공과금 정산\n재산세, 취득세 등 부동산 관련 세금 납부: 세무서 방문 또는 온라인 납부\n공과금 정산: 전기, 가스, 수도 등 공과금 명의 변경 및 정산\n4. 장애인 장기보장보험 가입 혜택\n4.1. 장애인 장기보장보험\n장애인 장기보장보험: 장애인의 장애 등급에 따라 보험금 지급\n부동산 매도 시 일시금 지급: 보험금 일부 또는 전액 지급 가능\n세금 혜택: 일시금 지급액에 대한 소득세 및 취득세 감면\n4.2. 세금 혜택\n장애인 장기보장보험 일시금: 소득세\n추가로 무직자 대출 가능한 상품들을 소개해드리니 아래 링크 확인해보세요\nhttps://naver.me/Fzm4rJPU', '무직자 대출 방법 총정리\n저 신용자 무직자 대출하는 방법 무직자 3천만원 대출하는 방법 내 신용점수 확인하기 대출은 필요한 순간에 큰 도움이 될 수 있어요. 하지만 대출을 받기 위해서는 신용등급이 높아야 하는데 신용등급이 낮은 경우 대출을 받기가 어려울 수 있어요. 하지만 신용등급이 낮아도 대출을 받을 수 있는 방법이 있어요. 바로 무직자 대출입니다. 무직자 대출은 직업이 없는 분들에게도 대출을 제공하는 상품이죠. 무직자 대출은 신용등급이 낮더라도 대출을 받을 수 있는 경우가 많아, 급전이 필요한 분들에게 유용한 상품입니다. 최저 1년부터 최대 15년까지 ...\nnaver.me', '']"
59,부동산 매매,현제.. 전남 고흥 존칩 을 매매 하려고합니다.. 하지만 중계소는 서울입니다... 오늘 계약 을 할려고 하는데 제가 서울 까지갈수가없었는되 부동산에서는... 이럭게 하라고하더군요.... 법원 변호사 계좌에 돈 200을입금 하고. 입금증명서. 등본 사진 보내주라고합니다.. 그럼 이전 서류 다하고변호사가등기이전하러 고흥 간다고합니다... 근데 변호사랑 .만나서 나머지 잔금 치루고 등기 이전하면 된다고했습니다.... 이럭게 해도될까요,1,"['변호사 사무실에서 중개시 중개료를 많이 받습니다. 또한 출장료, 교통비 등도 추가됩으로 토지 소재지 부근 부동산 사무실에 의뢰하여 지역 법무사가 등기하여야 저렴합니다.', '조상땅찾기에 오신걸 환영합니다\n조상땅찾기 전문, 상담, 조상땅조회, 토지조사부.\nwww.findarea.co.kr', '']"
60,천만원 부채로 부동산 압류 및 경매 가능할까요?,천만원 부채로부채의 20배 이상 되는 부동산 압류 및 경매 가능할까요?비용은 어느정도 들까요?,2,"['천만원 부채로 부채의 20배 이상 되는 부동산 압류 및 경매 가능할까요? 비용은 어느정도 들까요?\n---> 당연히 가능한 것이지만 경매 예납금 중에 감정 평가 비용이 많이 들겠지요.', '천만원이 아니라 \n백만원 정도의 채권이 있더라도 \n경매를 신청할 수 있습니다.\n그리고 경매를 진행하는데 필요한 비용은 \n매각 대상 부동산에 따라 ,  이해관계인의 숫자에 따라 다른데 \n대략 200만원 이상의 비용이 소요됩니다.\n그런데 경매사건이 종결되고 배당을 할 때 \n경매신청시 지불한 예납금 등은 매각 대금에서 거의 모두 배당해 줍니다.\n따라서 경매를 신청하는데 필요한 비용은 \n인지대, 등록세 등 몇 만원 정도면 됩니다.']"
61,부동산 계약 질문,대학교 자취 때문에 직방에서 찾고 부동산에 찾아가 마음에 드는 원룸을 찾아서 부동산이 집주인분이랑 통화 했는데 보증금을 먼저 대야 계약서를 써준다는데 이게 법적으로 허용이 되는건가요? 일단 2월 6일날 보증금 주고 계약서 쓰기로 했는데 원룸 주인분이랑 계약 해야되는거 맞죠? 대리인이 오면 안되고 홀로 하다보니 지식도 없고 많이 어렵습니다 도와주시면 정말 감사하겠습니다,2,"['법적으론 모르겠으나 상식적으로 계약서가 있어야 그에 대한 계약금을 줄 수 있는 것이고, 만약 계약서 없이 계약금을 주었는데 계약서 내용이 맘에 안 들거나 하자가 있으면 어찌하나요...\n부동산 중개인은 수수료 받으면서 일처리를 안 하네요...중개인한테 제대로 진행하라고 요구하시면 됩니다.\n보통 계약했다가 취소되면 잘못한 사람이 2 배정도의 위약금 물어내는거 아시는지 모르겠습니다...', '부동산 계약 질문\n대학교 자취 때문에 직방에서 찾고 부동산에 찾아가 마음에 드는 원룸을 찾아서 부동산이 집주인분이랑 통화 했는데 보증금을 먼저 대야 계약서를 써준다는데 이게 법적으로 허용이 되는건가요? 일단 2월 6일날 보증금 주고 계약서 쓰기로 했는데 원룸 주인분이랑 계약 해야되는거 맞죠? 대리인이 오면 안되고 홀로 하다보니 지식도 없고 많이 어렵습니다 도와주시면 정말 감사하겠습니다\n질문해주셔서 답변드려봅니다\n법적으로 허용됩니다.']"
